,0,1,2,3,4,5,6,7,8,labels
0,41.0,-1.0,79.0,0.0,42.0,5.0,38.0,38.0,0.0,-1.0
1,37.0,0.0,78.0,4.0,12.0,0.0,42.0,65.0,24.0,-1.0
2,37.0,5.0,76.0,-3.0,20.0,0.0,39.0,55.0,16.0,-1.0
3,48.0,0.0,77.0,0.0,50.0,31.0,28.0,28.0,0.0,-1.0
4,43.0,0.0,83.0,0.0,44.0,19.0,40.0,39.0,0.0,-1.0
5,37.0,0.0,76.0,3.0,26.0,20.0,39.0,50.0,12.0,-1.0
6,46.0,0.0,85.0,2.0,46.0,10.0,39.0,39.0,0.0,-1.0
7,37.0,0.0,81.0,0.0,28.0,5.0,44.0,52.0,8.0,-1.0
8,47.0,0.0,84.0,3.0,46.0,0.0,36.0,37.0,0.0,-1.0
9,47.0,-5.0,83.0,0.0,46.0,0.0,35.0,36.0,0.0,-1.0
10,43.0,3.0,86.0,0.0,42.0,0.0,42.0,44.0,2.0,-1.0
11,37.0,0.0,106.0,0.0,26.0,-10.0,68.0,80.0,12.0,-1.0
12,59.0,0.0,108.0,0.0,56.0,-17.0,49.0,51.0,2.0,-1.0
13,55.0,-4.0,86.0,0.0,54.0,-5.0,30.0,32.0,2.0,-1.0
14,44.0,0.0,76.0,0.0,44.0,28.0,32.0,32.0,0.0,-1.0
15,44.0,1.0,75.0,0.0,44.0,0.0,31.0,31.0,0.0,-1.0
16,42.0,0.0,80.0,-2.0,42.0,-3.0,38.0,39.0,0.0,-1.0
17,55.0,-4.0,90.0,0.0,54.0,0.0,35.0,35.0,0.0,-1.0
18,45.0,0.0,86.0,2.0,46.0,14.0,41.0,40.0,0.0,-1.0
19,45.0,0.0,85.0,0.0,44.0,-19.0,40.0,41.0,2.0,-1.0
20,49.0,4.0,83.0,0.0,46.0,0.0,34.0,37.0,2.0,-1.0
21,37.0,0.0,77.0,0.0,34.0,9.0,41.0,44.0,2.0,-1.0
22,37.0,0.0,80.0,0.0,36.0,-21.0,43.0,44.0,2.0,-1.0
23,43.0,0.0,76.0,9.0,42.0,-7.0,33.0,35.0,2.0,-1.0
24,50.0,-1.0,77.0,0.0,50.0,0.0,26.0,28.0,2.0,-1.0
25,47.0,0.0,93.0,-1.0,46.0,0.0,46.0,47.0,0.0,-1.0
26,42.0,2.0,83.0,0.0,42.0,0.0,41.0,42.0,2.0,-1.0
