,0,1,2,3,4,5,6,7,8,labels
0,37.0,0.0,77.0,4.0,28.0,0.0,41.0,49.0,8.0,-1.0
1,56.0,0.0,79.0,0.0,56.0,27.0,23.0,22.0,0.0,-1.0
2,37.0,0.0,106.0,0.0,24.0,-16.0,69.0,83.0,14.0,-1.0
3,53.0,3.0,88.0,0.0,54.0,22.0,35.0,34.0,0.0,-1.0
4,43.0,0.0,89.0,0.0,44.0,25.0,46.0,45.0,0.0,-1.0
5,53.0,0.0,80.0,0.0,52.0,-6.0,27.0,28.0,2.0,-1.0
6,37.0,-1.0,77.0,0.0,36.0,-18.0,40.0,41.0,2.0,-1.0
7,37.0,0.0,76.0,5.0,24.0,0.0,40.0,53.0,14.0,-1.0
8,45.0,-5.0,86.0,0.0,44.0,-15.0,41.0,42.0,2.0,-1.0
9,50.0,-3.0,85.0,-3.0,50.0,0.0,36.0,36.0,0.0,-1.0
10,47.0,0.0,81.0,5.0,46.0,0.0,34.0,35.0,0.0,-1.0
11,43.0,0.0,77.0,7.0,42.0,-14.0,34.0,36.0,2.0,-1.0
12,37.0,0.0,76.0,4.0,28.0,2.0,40.0,48.0,8.0,-1.0
13,68.0,3.0,112.0,0.0,68.0,0.0,44.0,45.0,0.0,-1.0
14,43.0,0.0,75.0,0.0,44.0,20.0,32.0,31.0,0.0,-1.0
15,41.0,1.0,78.0,0.0,38.0,0.0,37.0,39.0,2.0,-1.0
16,46.0,1.0,107.0,-7.0,46.0,4.0,61.0,60.0,0.0,-1.0
17,41.0,0.0,97.0,0.0,38.0,-4.0,57.0,59.0,2.0,-1.0
18,55.0,0.0,95.0,0.0,54.0,6.0,40.0,41.0,2.0,-1.0
19,43.0,0.0,85.0,5.0,42.0,-6.0,42.0,44.0,2.0,-1.0
20,52.0,-1.0,83.0,-1.0,52.0,0.0,32.0,32.0,0.0,-1.0
21,45.0,-10.0,77.0,0.0,44.0,-1.0,32.0,34.0,2.0,-1.0
22,37.0,0.0,74.0,-2.0,24.0,13.0,37.0,51.0,14.0,-1.0
